date,date_id,wind,desc,temp,baro,hum,year,month,day,day_date,start_hour,end_hour
"Friday, January 1, 2021, 12:00 am — 6:00 am",1609459200000.0,4.971,Low clouds.,32.0,29.82,99,2021,1,Friday,1,00:00,06:00
"Friday, January 1, 2021, 6:00 am — 12:00 pm",1609480800000.0,4.971,Low clouds.,33.8,29.86,94,2021,1,Friday,1,06:00,12:00
"Friday, January 1, 2021, 12:00 pm — 6:00 pm",1609502400000.0,4.35,Drizzle. Low clouds.,37.4,29.87,96,2021,1,Friday,1,12:00,18:00
"Friday, January 1, 2021, 6:00 pm — 12:00 am",1609524000000.0,4.971,Low clouds.,39.2,29.93,96,2021,1,Friday,1,18:00,00:00
"Saturday, January 2, 2021, 12:00 am — 6:00 am",1609545600000.0,7.457000000000001,Low clouds.,39.2,29.97,92,2021,1,Saturday,2,00:00,06:00
"Saturday, January 2, 2021, 6:00 am — 12:00 pm",1609567200000.0,5.593,Partly sunny.,39.2,30.01,89,2021,1,Saturday,2,06:00,12:00
"Saturday, January 2, 2021, 12:00 pm — 6:00 pm",1609588800000.0,5.593,Partly sunny.,41.0,29.98,80,2021,1,Saturday,2,12:00,18:00
"Saturday, January 2, 2021, 6:00 pm — 12:00 am",1609610400000.0,5.593,Low clouds.,35.6,30.01,90,2021,1,Saturday,2,18:00,00:00
"Sunday, January 3, 2021, 12:00 am — 6:00 am",1609632000000.0,6.2139999999999995,Low clouds.,35.6,30.01,94,2021,1,Sunday,3,00:00,06:00
"Sunday, January 3, 2021, 6:00 am — 12:00 pm",1609653600000.0,8.7,Broken clouds.,41.0,30.03,92,2021,1,Sunday,3,06:00,12:00
"Sunday, January 3, 2021, 12:00 pm — 6:00 pm",1609675200000.0,10.564,Partly sunny.,42.8,30.04,81,2021,1,Sunday,3,12:00,18:00
"Sunday, January 3, 2021, 6:00 pm — 12:00 am",1609696800000.0,10.564,Passing clouds.,39.2,30.09,86,2021,1,Sunday,3,18:00,00:00
"Monday, January 4, 2021, 12:00 am — 6:00 am",1609718400000.0,11.185,Passing clouds.,39.2,30.09,89,2021,1,Monday,4,00:00,06:00
"Monday, January 4, 2021, 6:00 am — 12:00 pm",1609740000000.0,14.914000000000001,Partly sunny.,41.0,30.09,86,2021,1,Monday,4,06:00,12:00
"Monday, January 4, 2021, 12:00 pm — 6:00 pm",1609761600000.0,16.778,Partly sunny.,41.0,30.08,81,2021,1,Monday,4,12:00,18:00
"Monday, January 4, 2021, 6:00 pm — 12:00 am",1609783200000.0,13.671,Overcast.,39.2,30.12,80,2021,1,Monday,4,18:00,00:00
"Tuesday, January 5, 2021, 12:00 am — 6:00 am",1609804800000.0,12.427999999999999,Passing clouds.,37.4,30.11,83,2021,1,Tuesday,5,00:00,06:00
"Tuesday, January 5, 2021, 6:00 am — 12:00 pm",1609826400000.0,14.293,Partly sunny.,39.2,30.12,85,2021,1,Tuesday,5,06:00,12:00
