,date,date_id,wind,desc,temp,baro,hum
0,"Monday, 1 June 2020, 00:00 — 06:00",1590969600000.0,11,Clear.,14,1023,72
1,"Monday, 1 June 2020, 06:00 — 12:00",1590991200000.0,16,Sunny.,22,1023,58
2,"Monday, 1 June 2020, 12:00 — 18:00",1591012800000.0,15,Sunny.,25,1021,34
3,"Monday, 1 June 2020, 18:00 — 00:00",1591034400000.0,15,Sunny.,24,1021,40
4,"Tuesday, 2 June 2020, 00:00 — 06:00",1591056000000.0,10,Clear.,17,1021,72
5,"Tuesday, 2 June 2020, 06:00 — 12:00",1591077600000.0,12,Sunny.,21,1020,57
6,"Tuesday, 2 June 2020, 12:00 — 18:00",1591099200000.0,12,Sunny.,24,1017,31
7,"Tuesday, 2 June 2020, 18:00 — 00:00",1591120800000.0,8,Sunny.,24,1014,38
8,"Wednesday, 3 June 2020, 00:00 — 06:00",1591142400000.0,5,Passing clouds.,14,1011,73
9,"Wednesday, 3 June 2020, 06:00 — 12:00",1591164000000.0,13,Partly sunny.,18,1008,60
10,"Wednesday, 3 June 2020, 12:00 — 18:00",1591185600000.0,19,Light rain. Partly sunny.,19,1007,67
11,"Wednesday, 3 June 2020, 18:00 — 00:00",1591207200000.0,24,Partly sunny.,16,1007,71
12,"Thursday, 4 June 2020, 00:00 — 06:00",1591228800000.0,19,Overcast.,12,1005,83
13,"Thursday, 4 June 2020, 06:00 — 12:00",1591250400000.0,20,Partly sunny.,14,1004,63
14,"Thursday, 4 June 2020, 12:00 — 18:00",1591272000000.0,18,Partly sunny.,15,1002,51
15,"Thursday, 4 June 2020, 18:00 — 00:00",1591293600000.0,14,Partly sunny.,13,1001,72
16,"Friday, 5 June 2020, 00:00 — 06:00",1591315200000.0,16,Overcast.,11,997,88
17,"Friday, 5 June 2020, 06:00 — 12:00",1591336800000.0,29,Broken clouds.,14,996,62
18,"Friday, 5 June 2020, 12:00 — 18:00",1591358400000.0,25,Scattered clouds.,16,997,52
19,"Friday, 5 June 2020, 18:00 — 00:00",1591380000000.0,19,Passing clouds.,14,998,54
20,"Saturday, 6 June 2020, 00:00 — 06:00",1591401600000.0,17,Clear.,9,998,73
21,"Saturday, 6 June 2020, 06:00 — 12:00",1591423200000.0,33,Partly sunny.,12,998,63
22,"Saturday, 6 June 2020, 12:00 — 18:00",1591444800000.0,27,Broken clouds.,14,998,77
23,"Saturday, 6 June 2020, 18:00 — 00:00",1591466400000.0,11,Partly sunny.,11,1000,93
24,"Sunday, 7 June 2020, 00:00 — 06:00",1591488000000.0,6,Passing clouds.,8,1004,96
25,"Sunday, 7 June 2020, 06:00 — 12:00",1591509600000.0,13,Broken clouds.,17,1008,76
26,"Sunday, 7 June 2020, 12:00 — 18:00",1591531200000.0,18,Partly sunny.,18,1010,61
27,"Sunday, 7 June 2020, 18:00 — 00:00",1591552800000.0,15,Partly sunny.,14,1014,72
28,"Monday, 8 June 2020, 00:00 — 06:00",1591574400000.0,14,Passing clouds.,12,1016,76
29,"Monday, 8 June 2020, 06:00 — 12:00",1591596000000.0,17,Partly sunny.,14,1019,67
30,"Monday, 8 June 2020, 12:00 — 18:00",1591617600000.0,14,Partly sunny.,16,1019,56
31,"Monday, 8 June 2020, 18:00 — 00:00",1591639200000.0,13,Scattered clouds.,16,1020,58
32,"Tuesday, 9 June 2020, 00:00 — 06:00",1591660800000.0,7,Overcast.,12,1020,69
33,"Tuesday, 9 June 2020, 06:00 — 12:00",1591682400000.0,7,Partly sunny.,17,1021,55
34,"Tuesday, 9 June 2020, 12:00 — 18:00",1591704000000.0,7,Sunny.,20,1019,42
35,"Tuesday, 9 June 2020, 18:00 — 00:00",1591725600000.0,12,Partly sunny.,18,1018,64
36,"Wednesday, 10 June 2020, 00:00 — 06:00",1591747200000.0,11,Passing clouds.,14,1017,87
37,"Wednesday, 10 June 2020, 06:00 — 12:00",1591768800000.0,7,Partly sunny.,16,1016,75
38,"Wednesday, 10 June 2020, 12:00 — 18:00",1591790400000.0,11,Partly sunny.,16,1014,80
39,"Wednesday, 10 June 2020, 18:00 — 00:00",1591812000000.0,14,Light rain. Broken clouds.,13,1013,94
40,"Thursday, 11 June 2020, 00:00 — 06:00",1591833600000.0,12,Passing clouds.,12,1012,92
41,"Thursday, 11 June 2020, 06:00 — 12:00",1591855200000.0,20,Partly sunny.,15,1012,85
42,"Thursday, 11 June 2020, 12:00 — 18:00",1591876800000.0,28,Partly sunny.,20,1011,64
43,"Thursday, 11 June 2020, 18:00 — 00:00",1591898400000.0,21,Broken clouds.,16,1010,79
44,"Friday, 12 June 2020, 00:00 — 06:00",1591920000000.0,15,Mostly cloudy.,14,1008,88
45,"Friday, 12 June 2020, 06:00 — 12:00",1591941600000.0,25,Broken clouds.,20,1005,73
46,"Friday, 12 June 2020, 12:00 — 18:00",1591963200000.0,26,Broken clouds.,20,1003,75
47,"Friday, 12 June 2020, 18:00 — 00:00",1591984800000.0,14,Broken clouds.,18,1004,82
48,"Saturday, 13 June 2020, 00:00 — 06:00",1592006400000.0,8,Passing clouds.,14,1005,95
49,"Saturday, 13 June 2020, 06:00 — 12:00",1592028000000.0,17,Passing clouds.,21,1008,70
50,"Saturday, 13 June 2020, 12:00 — 18:00",1592049600000.0,24,Sunny.,24,1009,44
51,"Saturday, 13 June 2020, 18:00 — 00:00",1592071200000.0,16,Overcast.,22,1011,77
52,"Sunday, 14 June 2020, 00:00 — 06:00",1592092800000.0,2,Clear.,15,1012,96
53,"Sunday, 14 June 2020, 06:00 — 12:00",1592114400000.0,12,Scattered clouds.,19,1014,76
54,"Sunday, 14 June 2020, 12:00 — 18:00",1592136000000.0,17,Scattered clouds.,22,1014,55
55,"Sunday, 14 June 2020, 18:00 — 00:00",1592157600000.0,10,Clear.,21,1015,64
56,"Monday, 15 June 2020, 00:00 — 06:00",1592179200000.0,4,Clear.,14,1016,92
57,"Monday, 15 June 2020, 06:00 — 12:00",1592200800000.0,6,Passing clouds.,23,1016,66
58,"Monday, 15 June 2020, 12:00 — 18:00",1592222400000.0,10,Sunny.,23,1016,56
