,time,weather,Humidity,wind,temp
0,"00:50Mon, 1 Jun",Clear.,1023 mbar,15 km/h,14ʡC
1,01:50,Clear.,1023 mbar,13 km/h,13ʡC
2,02:50,Clear.,1023 mbar,11 km/h,13ʡC
3,03:50,Clear.,1023 mbar,9 km/h,12ʡC
4,04:50,Sunny.,1023 mbar,9 km/h,11ʡC
5,05:50,Sunny.,1023 mbar,9 km/h,12ʡC
6,06:50,Sunny.,1023 mbar,13 km/h,12ʡC
7,07:50,Sunny.,1023 mbar,15 km/h,14ʡC
8,08:50,Sunny.,1023 mbar,15 km/h,16ʡC
9,09:20,Sunny.,1023 mbar,11 km/h,17ʡC
10,09:50,Sunny.,1023 mbar,17 km/h,19ʡC
11,10:20,Sunny.,1023 mbar,15 km/h,19ʡC
12,10:50,Passing clouds.,1023 mbar,20 km/h,21ʡC
13,11:20,Sunny.,1023 mbar,20 km/h,22ʡC
14,11:50,Sunny.,1022 mbar,20 km/h,22ʡC
15,12:20,Sunny.,1022 mbar,13 km/h,23ʡC
16,12:50,Sunny.,1022 mbar,17 km/h,23ʡC
17,13:20,Sunny.,1022 mbar,17 km/h,24ʡC
18,13:50,Sunny.,1022 mbar,15 km/h,24ʡC
19,14:20,Sunny.,1021 mbar,13 km/h,24ʡC
20,14:50,Sunny.,1021 mbar,17 km/h,24ʡC
21,15:20,Sunny.,1021 mbar,19 km/h,25ʡC
22,15:50,Sunny.,1021 mbar,15 km/h,25ʡC
23,16:20,Sunny.,1021 mbar,15 km/h,25ʡC
24,16:50,Sunny.,1021 mbar,19 km/h,25ʡC
25,17:20,Sunny.,1021 mbar,11 km/h,25ʡC
26,17:50,Sunny.,1021 mbar,15 km/h,25ʡC
27,18:20,Sunny.,1021 mbar,15 km/h,24ʡC
28,18:50,Sunny.,1021 mbar,19 km/h,24ʡC
29,19:20,Sunny.,1021 mbar,15 km/h,24ʡC
30,19:50,Sunny.,1021 mbar,17 km/h,23ʡC
31,20:20,Sunny.,1021 mbar,17 km/h,22ʡC
32,20:50,Sunny.,1021 mbar,15 km/h,21ʡC
33,21:50,Clear.,1022 mbar,13 km/h,20ʡC
34,22:50,Clear.,1022 mbar,15 km/h,18ʡC
35,23:50,Clear.,1022 mbar,11 km/h,18ʡC
36,"00:20Tue, 1 Jun",Clear.,1018 mbar,11 km/h,14ʡC
37,00:50,Clear.,1018 mbar,13 km/h,14ʡC
38,01:50,Clear.,1017 mbar,9 km/h,13ʡC
39,02:50,Clear.,1017 mbar,11 km/h,12ʡC
40,03:50,Clear.,1016 mbar,11 km/h,12ʡC
41,04:50,Sunny.,1016 mbar,6 km/h,11ʡC
42,05:50,Sunny.,1016 mbar,7 km/h,11ʡC
43,06:50,Sunny.,1016 mbar,13 km/h,13ʡC
44,07:20,Sunny.,1016 mbar,9 km/h,14ʡC
45,08:20,Sunny.,1016 mbar,11 km/h,17ʡC
46,08:50,Sunny.,1016 mbar,11 km/h,19ʡC
47,09:20,Sunny.,1015 mbar,9 km/h,20ʡC
48,09:50,Sunny.,1015 mbar,11 km/h,22ʡC
49,10:20,Sunny.,1015 mbar,15 km/h,23ʡC
50,10:50,Sunny.,1015 mbar,19 km/h,23ʡC
51,11:20,Sunny.,1014 mbar,17 km/h,24ʡC
52,11:50,Sunny.,1014 mbar,19 km/h,25ʡC
53,12:50,Sunny.,1014 mbar,26 km/h,24ʡC
54,13:20,Sunny.,1014 mbar,28 km/h,25ʡC
55,13:50,Sunny.,1014 mbar,24 km/h,25ʡC
56,14:19,Sunny.,1014 mbar,22 km/h,25ʡC
57,14:50,Sunny.,1014 mbar,26 km/h,25ʡC
58,15:20,Sunny.,1013 mbar,28 km/h,25ʡC
59,15:50,Sunny.,1013 mbar,22 km/h,25ʡC
60,16:20,Sunny.,1013 mbar,24 km/h,25ʡC
61,16:50,Sunny.,1013 mbar,24 km/h,25ʡC
62,17:20,Sunny.,1013 mbar,26 km/h,24ʡC
63,17:50,Sunny.,1013 mbar,22 km/h,24ʡC
64,18:20,Sunny.,1013 mbar,26 km/h,23ʡC
65,18:50,Sunny.,1013 mbar,24 km/h,23ʡC
66,19:20,Sunny.,1013 mbar,22 km/h,22ʡC
67,19:50,Sunny.,1013 mbar,17 km/h,21ʡC
68,20:20,Sunny.,1013 mbar,15 km/h,21ʡC
69,20:50,Sunny.,1013 mbar,19 km/h,20ʡC
70,21:20,Clear.,1013 mbar,13 km/h,19ʡC
71,21:50,Clear.,1014 mbar,17 km/h,19ʡC
72,22:20,Clear.,1014 mbar,15 km/h,19ʡC
73,22:50,Clear.,1014 mbar,13 km/h,18ʡC
74,23:22,Clear.,1014 mbar,13 km/h,17ʡC
75,23:50,Clear.,1013 mbar,13 km/h,17ʡC
76,"00:50Wed, 1 Jul",Passing clouds.,1005 mbar,19 km/h,17ʡC
77,01:50,Overcast.,1004 mbar,22 km/h,16ʡC
78,02:50,Partly cloudy.,1004 mbar,17 km/h,16ʡC
79,03:50,Partly cloudy.,1004 mbar,17 km/h,15ʡC
80,04:50,Partly sunny.,1004 mbar,15 km/h,15ʡC
81,05:50,Partly sunny.,1004 mbar,13 km/h,15ʡC
82,06:50,Passing clouds.,1004 mbar,19 km/h,15ʡC
83,07:20,Partly sunny.,1004 mbar,22 km/h,16ʡC
84,07:50,Partly sunny.,1004 mbar,19 km/h,16ʡC
