,Time,Temp,Weather,Wind,Humidity,Barometer,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
0,"12:50 amSat, May 1",39ʡF,Overcast.,5 mph,87%,"29.98 ""Hg",,,,,,,
1,1:50 am,37ʡF,Passing clouds.,5 mph,87%,"29.98 ""Hg",,,,,,,
2,2:50 am,37ʡF,Clear.,3 mph,87%,"29.98 ""Hg",,,,,,,
3,3:50 am,36ʡF,Clear.,2 mph,87%,"29.98 ""Hg",,,,,,,
4,4:50 am,36ʡF,Clear.,2 mph,93%,"29.98 ""Hg",,,,,,,
5,5:50 am,36ʡF,Passing clouds.,3 mph,93%,"29.98 ""Hg",,,,,,,
6,6:50 am,39ʡF,Sunny.,5 mph,93%,"30.01 ""Hg",,,,,,,
7,7:20 am,41ʡF,Sunny.,6 mph,87%,"30.01 ""Hg",,,,,,,
8,7:50 am,41ʡF,Scattered clouds.,5 mph,87%,"30.01 ""Hg",,,,,,,
9,8:20 am,43ʡF,Passing clouds.,7 mph,81%,"30.01 ""Hg",,,,,,,
10,8:50 am,45ʡF,Passing clouds.,8 mph,81%,"30.01 ""Hg",,,,,,,
11,9:20 am,46ʡF,Passing clouds.,8 mph,71%,"30.01 ""Hg",,,,,,,
12,9:50 am,48ʡF,Passing clouds.,6 mph,66%,"30.01 ""Hg",,,,,,,
13,10:20 am,50ʡF,Scattered clouds.,7 mph,58%,"30.01 ""Hg",,,,,,,
14,10:50 am,50ʡF,Scattered clouds.,7 mph,54%,"30.01 ""Hg",,,,,,,
15,11:20 am,50ʡF,Partly sunny.,7 mph,54%,"30.01 ""Hg",,,,,,,
16,11:50 am,50ʡF,Partly sunny.,8 mph,47%,"30.01 ""Hg",,,,,,,
17,12:25 pm,52ʡF,Scattered clouds.,10 mph,50%,"30.01 ""Hg",,,,,,,
18,12:50 pm,54ʡF,Scattered showers. Passing clouds.,7 mph,47%,"30.01 ""Hg",,,,,,,
19,1:24 pm,52ʡF,Scattered clouds.,10 mph,47%,"30.01 ""Hg",,,,,,,
20,1:50 pm,52ʡF,Scattered showers. Passing clouds.,13 mph,47%,"30.01 ""Hg",,,,,,,
21,2:22 pm,52ʡF,Scattered clouds.,10 mph,50%,"29.98 ""Hg",,,,,,,
22,2:50 pm,54ʡF,Scattered showers. Scattered clouds.,14 mph,47%,"29.98 ""Hg",,,,,,,
23,3:50 pm,54ʡF,Scattered showers. Broken clouds.,9 mph,44%,"29.98 ""Hg",,,,,,,
