,time,weather,Humidity,wind,temp,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
0,"12:50 amFri, Jan 1",Low clouds.,"29.80 ""Hg",3 mph,32ʡF,,,,,,,
1,1:50 am,Low clouds.,"29.80 ""Hg",3 mph,32ʡF,,,,,,,
2,2:50 am,Passing clouds.,"29.83 ""Hg",6 mph,32ʡF,,,,,,,
3,3:50 am,Low clouds.,"29.83 ""Hg",5 mph,30ʡF,,,,,,,
4,4:50 am,Low clouds.,"29.83 ""Hg",7 mph,30ʡF,,,,,,,
5,5:50 am,Low clouds.,"29.83 ""Hg",6 mph,30ʡF,,,,,,,
6,6:50 am,Ice fog.,"29.83 ""Hg",3 mph,30ʡF,,,,,,,
7,7:50 am,Ice fog.,"29.86 ""Hg",7 mph,32ʡF,,,,,,,
8,8:23 am,Ice fog.,"29.86 ""Hg",5 mph,32ʡF,,,,,,,
9,8:50 am,Ice fog.,"29.86 ""Hg",3 mph,32ʡF,,,,,,,
10,9:27 am,Ice fog.,"29.86 ""Hg",5 mph,32ʡF,,,,,,,
11,9:50 am,Low clouds.,"29.86 ""Hg",5 mph,34ʡF,,,,,,,
12,10:20 am,Light snow. Low clouds.,"29.86 ""Hg",7 mph,34ʡF,,,,,,,
13,10:56 am,Low clouds.,"29.86 ""Hg",5 mph,34ʡF,,,,,,,
14,11:27 am,Low clouds.,"29.86 ""Hg",5 mph,34ʡF,,,,,,,
15,11:50 am,Low clouds.,"29.86 ""Hg",3 mph,34ʡF,,,,,,,
16,12:23 pm,Low clouds.,"29.86 ""Hg",5 mph,36ʡF,,,,,,,
17,12:50 pm,Drizzle. Low clouds.,"29.86 ""Hg",5 mph,36ʡF,,,,,,,
18,1:23 pm,Drizzle. Low clouds.,"29.86 ""Hg",5 mph,36ʡF,,,,,,,
19,1:50 pm,Drizzle. Low clouds.,"29.86 ""Hg",5 mph,36ʡF,,,,,,,
20,2:50 pm,Low clouds.,"29.86 ""Hg",3 mph,37ʡF,,,,,,,
21,3:50 pm,Low clouds.,"29.86 ""Hg",5 mph,37ʡF,,,,,,,
22,4:50 pm,Partly cloudy.,"29.89 ""Hg",5 mph,37ʡF,,,,,,,
23,5:50 pm,Overcast.,"29.89 ""Hg",5 mph,37ʡF,,,,,,,
24,6:50 pm,Low clouds.,"29.89 ""Hg",3 mph,37ʡF,,,,,,,
25,7:50 pm,Low clouds.,"29.92 ""Hg",5 mph,39ʡF,,,,,,,
26,8:50 pm,Low clouds.,"29.92 ""Hg",5 mph,39ʡF,,,,,,,
27,9:50 pm,Low clouds.,"29.92 ""Hg",6 mph,39ʡF,,,,,,,
28,10:50 pm,Low clouds.,"29.95 ""Hg",6 mph,39ʡF,,,,,,,
29,11:50 pm,Low clouds.,"29.95 ""Hg",7 mph,39ʡF,,,,,,,
30,"12:50 amMon, Feb 1",Low clouds.,"29.24 ""Hg",7 mph,37ʡF,,,,,,,
31,1:50 am,Low clouds.,"29.24 ""Hg",8 mph,37ʡF,,,,,,,
32,2:50 am,Low clouds.,"29.27 ""Hg",8 mph,37ʡF,,,,,,,
33,3:50 am,Low clouds.,"29.27 ""Hg",8 mph,37ʡF,,,,,,,
34,4:50 am,Low clouds.,"29.30 ""Hg",8 mph,37ʡF,,,,,,,
35,5:50 am,Low clouds.,"29.30 ""Hg",8 mph,37ʡF,,,,,,,
36,6:50 am,Fog.,"29.33 ""Hg",8 mph,37ʡF,,,,,,,
37,8:21 am,Fog.,"29.39 ""Hg",6 mph,37ʡF,,,,,,,
38,8:50 am,Fog.,"29.39 ""Hg",7 mph,37ʡF,,,,,,,
39,9:20 am,Broken clouds.,"29.42 ""Hg",7 mph,37ʡF,,,,,,,
40,9:50 am,Partly sunny.,"29.42 ""Hg",7 mph,37ʡF,,,,,,,
41,10:20 am,Low clouds.,"29.45 ""Hg",7 mph,37ʡF,,,,,,,
42,10:50 am,Broken clouds.,"29.45 ""Hg",6 mph,37ʡF,,,,,,,
43,11:22 am,Overcast.,"29.45 ""Hg",6 mph,39ʡF,,,,,,,
44,11:50 am,Overcast.,"29.47 ""Hg",7 mph,39ʡF,,,,,,,
45,12:23 pm,Overcast.,"29.47 ""Hg",7 mph,39ʡF,,,,,,,
46,12:50 pm,Overcast.,"29.47 ""Hg",7 mph,39ʡF,,,,,,,
47,1:24 pm,Overcast.,"29.50 ""Hg",7 mph,39ʡF,,,,,,,
48,1:50 pm,Overcast.,"29.50 ""Hg",6 mph,39ʡF,,,,,,,
49,2:50 pm,Overcast.,"29.53 ""Hg",5 mph,39ʡF,,,,,,,
50,3:20 pm,Overcast.,"29.53 ""Hg",3 mph,39ʡF,,,,,,,
51,3:50 pm,Overcast.,"29.53 ""Hg",5 mph,39ʡF,,,,,,,
52,4:20 pm,Overcast.,"29.53 ""Hg",3 mph,39ʡF,,,,,,,
53,4:50 pm,Overcast.,"29.56 ""Hg",6 mph,37ʡF,,,,,,,
54,5:20 pm,Overcast.,"29.56 ""Hg",6 mph,37ʡF,,,,,,,
55,5:50 pm,Overcast.,"29.56 ""Hg",3 mph,37ʡF,,,,,,,
56,6:20 pm,Overcast.,"29.56 ""Hg",5 mph,37ʡF,,,,,,,
57,6:50 pm,Mostly cloudy.,"29.56 ""Hg",5 mph,37ʡF,,,,,,,
58,7:20 pm,Mostly cloudy.,"29.56 ""Hg",2 mph,37ʡF,,,,,,,
59,7:50 pm,Overcast.,"29.56 ""Hg",5 mph,39ʡF,,,,,,,
60,8:20 pm,Overcast.,"29.56 ""Hg",5 mph,39ʡF,,,,,,,
61,8:50 pm,Overcast.,"29.56 ""Hg",5 mph,39ʡF,,,,,,,
62,9:22 pm,Mostly cloudy.,"29.56 ""Hg",6 mph,39ʡF,,,,,,,
63,9:50 pm,Overcast.,"29.53 ""Hg",7 mph,39ʡF,,,,,,,
64,10:50 pm,Low clouds.,"29.53 ""Hg",7 mph,39ʡF,,,,,,,
65,11:50 pm,Passing clouds.,"29.50 ""Hg",9 mph,37ʡF,,,,,,,
66,"12:50 amMon, Mar 1",Passing clouds.,"30.54 ""Hg",8 mph,39ʡF,,,,,,,
